Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
FUSN,ATA Creativity Global American Depositary Shares,$1.22 ,-0.12,-8.96%,38579047,China,2008,8166,Real Estate,Other Consumer Services
AACI,Armada Acquisition Corp. I Common Stock,$10.99 ,0,0.00%,0,United States,2021,74,Finance,Blank Checks
AACIW,Armada Acquisition Corp. I Warrant,$0.03 ,0,0.00%,0,United States,2021,1,Finance,Blank Checks
AADI,Aadi Bioscience Inc. Common Stock,$1.90 ,0.01,0.53%,46599134,United States,,245345,Health Care,Biotechnology: Pharmaceutical Preparations
AAGR,African Agriculture Holdings Inc. Common Stock,$0.76 ,-0.037,-4.63%,19194219,United States,2021,200168,Finance,Finance: Consumer Services
AAGRW,African Agriculture Holdings Inc. Warrant,$0.02 ,-0.0001,-0.66%,377344,United States,2021,32875,Finance,Finance: Consumer Services
AAL,American Airlines Group Inc. Common Stock,$15.13 ,-0.11,-0.72%,9906470626,United States,,22902785,Consumer Discretionary,Air Freight/Delivery Services
AAME,Atlantic American Corporation Common Stock,$2.70 ,0,0.00%,55086178,United States,,12675,Finance,Life Insurance
AAOI,Applied Optoelectronics Inc. Common Stock,$14.15 ,-6.2,-30.47%,502842579,United States,2013,19657486,Technology,Semiconductors
